Province,Total,One-person households,One-family households,Extended-family households,Multi-person no-family households
Turkiye,26 075 365,5 067 331,16 816 288,3 342 280, 849 466
Adana, 654 827, 108 768, 428 875, 102 156, 15 028
Adıyaman, 162 113, 19 025, 118 332, 22 529, 2 227
Afyonkarahisar, 224 361, 46 107, 135 740, 37 669, 4 845
Ağrı, 113 097, 15 546, 77 708, 17 859, 1 984
Amasya, 112 435, 23 453, 71 741, 15 034, 2 207
Ankara,1 909 132, 368 911,1 295 719, 178 831, 65 671
Antalya, 886 985, 196 762, 531 696, 103 108, 55 419
Artvin, 59 668, 16 062, 33 440, 8 526, 1 640
Aydın, 402 653, 96 475, 251 331, 44 822, 10 025
Balıkesir, 464 845, 115 688, 295 243, 44 744, 9 170
Bilecik, 75 032, 16 576, 48 648, 8 148, 1 660
Bingöl, 79 731, 14 311, 54 237, 8 966, 2 217
Bitlis, 83 736, 12 905, 57 150, 11 903, 1 778
Bolu, 106 520, 24 283, 64 024, 14 498, 3 715
Burdur, 97 783, 25 382, 60 546, 9 522, 2 333
Bursa, 994 542, 173 093, 662 721, 134 247, 24 481
Çanakkale, 209 136, 54 100, 131 175, 19 158, 4 703
Çankırı, 69 591, 18 521, 39 839, 8 444, 2 787
Çorum, 182 130, 41 209, 115 068, 21 851, 4 002
Denizli, 360 572, 78 380, 233 794, 40 449, 7 949
Diyarbakır, 416 475, 46 858, 301 999, 59 465, 8 153
Edirne, 148 451, 36 788, 87 613, 19 972, 4 078
Elazığ, 182 472, 34 620, 123 518, 19 837, 4 497
Erzincan, 77 783, 19 366, 48 511, 7 717, 2 189
Erzurum, 203 204, 35 682, 137 138, 25 984, 4 400
Eskişehir, 333 016, 87 972, 203 983, 28 567, 12 494
Gaziantep, 543 983, 71 680, 396 063, 67 231, 9 009
Giresun, 168 551, 48 894, 97 163, 17 973, 4 521
Gümüşhane, 48 542, 14 754, 26 884, 4 949, 1 955
Hakkari, 57 055, 7 491, 35 966, 11 670, 1 928
Hatay, 468 682, 71 572, 325 708, 63 355, 8 047
Isparta, 154 061, 37 835, 96 505, 15 603, 4 118
Mersin, 594 967, 112 037, 389 589, 73 035, 20 306
İstanbul,4 859 620, 939 158,2 983 664, 660 604, 276 194
İzmir,1 540 621, 346 374, 960 173, 191 109, 42 965
Kars, 73 011, 13 621, 46 668, 11 174, 1 548
Kastamonu, 133 956, 35 098, 75 263, 20 219, 3 376
Kayseri, 435 301, 69 146, 309 818, 47 891, 8 446
Kırklareli, 131 948, 30 205, 83 295, 15 405, 3 043
Kırşehir, 78 761, 16 378, 48 535, 10 526, 3 322
Kocaeli, 626 191, 100 837, 426 704, 84 658, 13 992
Konya, 682 503, 113 035, 466 862, 89 029, 13 577
Kütahya, 196 341, 44 619, 122 008, 25 132, 4 582
Malatya, 238 581, 41 900, 156 337, 35 276, 5 068
Manisa, 484 990, 93 227, 322 599, 60 508, 8 656
Kahramanmaraş, 324 588, 45 051, 230 197, 44 515, 4 825
Mardin, 191 428, 25 266, 130 189, 31 578, 4 395
Muğla, 374 791, 96 748, 215 627, 46 047, 16 369
Muş, 89 653, 12 996, 60 385, 14 491, 1 781
Nevşehir, 98 450, 20 350, 61 873, 13 296, 2 931
Niğde, 115 192, 24 838, 77 500, 10 668, 2 186
Ordu, 272 709, 66 087, 170 358, 30 767, 5 497
Rize, 114 067, 27 469, 67 994, 15 751, 2 853
Sakarya, 324 722, 58 872, 205 161, 50 610, 10 079
Samsun, 435 192, 85 883, 271 092, 65 678, 12 539
Siirt, 71 372, 9 319, 49 361, 11 216, 1 476
Sinop, 80 417, 21 175, 47 280, 10 021, 1 941
Sivas, 197 134, 40 798, 127 412, 24 601, 4 323
Tekirdağ, 364 278, 66 958, 241 601, 47 811, 7 908
Tokat, 194 436, 42 575, 121 835, 25 958, 4 068
Trabzon, 271 541, 63 722, 167 618, 32 114, 8 087
Tunceli, 30 131, 9 022, 15 927, 3 726, 1 456
Şanlıurfa, 444 259, 51 418, 315 773, 69 608, 7 460
Uşak, 127 577, 26 721, 82 261, 15 413, 3 182
Van, 252 592, 29 584, 176 319, 40 990, 5 699
Yozgat, 136 292, 30 885, 85 298, 16 575, 3 534
Zonguldak, 204 318, 44 892, 128 626, 26 540, 4 260
Aksaray, 126 757, 22 108, 79 974, 20 043, 4 632
Bayburt, 24 948, 5 766, 15 104, 3 102,  976
Karaman, 83 287, 17 104, 55 988, 8 592, 1 603
Kırıkkale, 92 992, 20 495, 60 654, 8 970, 2 873
Batman, 132 810, 14 794, 90 457, 24 891, 2 668
Şırnak, 107 939, 16 591, 69 556, 18 668, 3 124
Bartın, 69 672, 16 725, 39 145, 12 053, 1 749
Ardahan, 28 806, 6 872, 16 413, 4 867,  654
Iğdır, 50 568, 7 825, 33 017, 8 466, 1 260
Yalova, 98 190, 23 348, 54 238, 12 481, 8 123
Karabük, 87 554, 22 586, 52 221, 8 860, 3 887
Kilis, 41 422, 8 197, 27 286, 5 007,  932
Osmaniye, 162 723, 24 275, 117 533, 18 464, 2 451
Düzce, 124 603, 25 312, 75 422, 20 489, 3 380
