Province,Population,Illiterate,Literate without a diploma,Primary school,Primary education or lower secondary school,Upper secondary school,Higher education,Unknown
Adana,2 059 893, 59 707, 222 839, 447 120, 522 587, 462 409, 327 455, 17 776
Adıyaman, 562 636, 28 410, 66 295, 118 300, 157 025, 114 512, 75 117, 2 977
Afyonkarahisar, 685 031, 13 935, 64 809, 188 990, 180 973, 133 036, 88 574, 14 714
Ağrı, 454 387, 27 286, 79 266, 108 635, 129 333, 65 598, 39 797, 4 472
Amasya, 313 693, 7 610, 27 671, 83 929, 73 500, 67 722, 49 923, 3 338
Ankara,5 317 215, 87 641, 411 730, 969 511,1 362 785,1 044 280,1 366 846, 74 422
Antalya,2 418 651, 23 015, 217 551, 511 339, 560 515, 599 174, 457 640, 49 417
Artvin, 158 964, 4 332, 12 731, 36 462, 34 318, 42 483, 27 957,681
Aydın,1 054 769, 16 120, 95 144, 274 683, 252 411, 222 583, 179 167, 14 661
Balıkesir,1 175 324, 19 511, 93 310, 325 102, 258 320, 258 045, 206 233, 14 803
Bilecik, 212 486, 3 130, 14 659, 52 406, 49 151, 54 152, 36 611, 2 377
Bingöl, 253 359, 12 742, 29 743, 43 218, 67 417, 64 315, 34 447, 1 477
Bitlis, 307 483, 14 091, 44 904, 60 615, 93 528, 58 188, 35 182,975
Bolu, 299 413, 7 391, 22 633, 73 920, 63 416, 75 070, 52 283, 4 700
Burdur, 257 183, 4 993, 20 200, 71 150, 57 779, 55 434, 43 405, 4 222
Bursa,2 894 954, 54 747, 242 957, 646 008, 725 986, 679 174, 501 310, 44 772
Çanakkale, 524 498, 5 724, 40 409, 146 517, 105 332, 119 052, 103 873, 3 591
Çankırı, 183 068, 6 088, 15 410, 48 451, 42 548, 41 051, 25 846, 3 674
Çorum, 491 031, 18 938, 51 795, 133 376, 121 169, 92 222, 66 242, 7 289
Denizli, 975 566, 11 765, 87 927, 245 586, 241 375, 214 874, 159 652, 14 387
Diyarbakır,1 557 143, 84 060, 256 409, 288 632, 447 335, 284 704, 192 068, 3 935
Edirne, 389 114, 7 662, 27 953, 107 131, 83 337, 92 369, 66 780, 3 882
Elazığ, 541 103, 17 790, 64 115, 104 099, 136 025, 123 837, 90 619, 4 618
Erzincan, 219 866, 8 545, 19 373, 45 473, 47 096, 55 413, 39 737, 4 229
Erzurum, 683 823, 30 843, 77 154, 153 458, 167 404, 146 836, 102 228, 5 900
Eskişehir, 839 097, 12 290, 57 149, 182 358, 170 890, 220 465, 178 128, 17 817
Gaziantep,1 870 697, 52 179, 245 023, 428 986, 577 511, 319 927, 223 851, 23 220
Giresun, 424 106, 17 189, 46 870, 98 919, 94 188, 92 948, 67 318, 6 674
Gümüşhane, 140 192, 4 506, 14 803, 28 787, 28 556, 33 583, 21 807, 8 150
Hakkari, 247 997, 9 240, 31 323, 35 448, 73 801, 65 802, 29 622, 2 761
Hatay,1 501 571, 25 903, 124 057, 369 728, 400 533, 277 135, 273 770, 30 445
Isparta, 416 157, 8 322, 32 185, 100 549, 85 974, 103 219, 78 848, 7 060
Mersin,1 733 188, 31 195, 186 446, 405 719, 427 370, 375 525, 288 114, 18 819
İstanbul,14 567 918, 256 223,1 202 171,2 924 318,4 469 802,2 412 463,3 081 790, 221 151
İzmir,4 126 820, 49 157, 635 502, 913 720, 929 148, 679 051, 884 656, 35 586
Kars, 253 403, 12 631, 28 374, 58 826, 72 106, 47 713, 31 198, 2 555
Kastamonu, 354 122, 15 447, 33 666, 103 755, 79 949, 69 551, 49 042, 2 712
Kayseri,1 313 852, 27 174, 125 802, 297 873, 329 736, 293 416, 216 991, 22 860
Kırklareli, 344 825, 4 913, 22 274, 89 400, 79 552, 87 609, 58 826, 2 251
Kırşehir, 225 754, 6 113, 20 228, 52 529, 49 754, 51 707, 36 139, 9 284
Kocaeli,1 851 790, 29 476, 165 234, 364 915, 469 716, 466 822, 340 437, 15 190
Konya,2 076 524, 36 936, 202 944, 555 421, 537 597, 396 826, 313 043, 33 757
Kütahya, 543 187, 8 720, 48 853, 148 613, 127 271, 120 355, 83 609, 5 766
Malatya, 743 558, 34 008, 71 336, 153 432, 178 802, 171 003, 127 990, 6 987
Manisa,1 347 352, 24 405, 128 830, 394 505, 344 768, 260 056, 188 081, 6 707
Kahramanmaraş,1 056 425, 42 483, 122 408, 241 003, 301 416, 201 014, 135 374, 12 727
Mardin, 747 268, 49 254, 113 512, 146 366, 213 339, 134 052, 79 557, 11 188
Muğla, 955 114, 11 519, 69 044, 231 914, 204 229, 227 670, 197 798, 12 940
Muş, 351 802, 19 873, 55 966, 72 625, 108 460, 59 563, 32 702, 2 613
Nevşehir, 284 657, 6 382, 24 460, 71 660, 72 006, 60 483, 42 107, 7 559
Niğde, 333 356, 9 062, 31 924, 85 561, 94 169, 65 813, 44 101, 2 726
Ordu, 710 463, 34 668, 79 211, 173 829, 170 141, 147 486, 97 936, 7 192
Rize, 322 103, 9 130, 28 862, 69 915, 75 374, 81 517, 55 500, 1 805
Sakarya, 973 995, 19 832, 80 631, 231 104, 234 883, 240 888, 151 604, 15 053
Samsun,1 274 554, 25 724, 137 417, 318 434, 302 214, 264 750, 208 607, 17 408
Siirt, 288 138, 17 441, 44 077, 52 397, 87 092, 52 605, 33 191, 1 335
Sinop, 205 318, 6 914, 19 148, 59 865, 48 986, 38 124, 29 125, 3 156
Sivas, 588 673, 24 698, 54 586, 132 605, 139 216, 134 621, 92 848, 10 099
Tekirdağ,1 022 528, 12 592, 87 259, 230 915, 282 007, 244 222, 158 132, 7 401
Tokat, 562 116, 13 135, 65 263, 145 084, 140 872, 112 692, 80 165, 4 905
Trabzon, 757 629, 24 580, 72 692, 160 493, 156 685, 191 368, 140 555, 11 256
Tunceli, 78 056, 4 218, 5 878, 14 199, 14 875, 21 484, 16 033, 1 369
Şanlıurfa,1 789 868, 112 006, 335 359, 387 212, 541 089, 247 164, 149 145, 17 893
Uşak, 348 239, 5 836, 31 805, 86 889, 91 756, 73 822, 50 817, 7 314
Van, 994 436, 49 722, 169 448, 207 048, 295 271, 164 745, 102 965, 5 237
Yozgat, 388 830, 13 116, 39 065, 102 913, 92 536, 79 333, 46 452, 15 415
Zonguldak, 556 326, 24 001, 44 975, 143 763, 130 713, 126 749, 79 909, 6 216
Aksaray, 390 189, 12 845, 39 925, 96 509, 109 141, 68 852, 46 718, 16 199
Bayburt, 78 777, 2 764, 16 740, 16 278, 18 476, 10 635, 12 765, 1 119
Karaman, 237 847, 4 154, 20 716, 60 273, 65 109, 47 198, 35 230, 5 167
Kırıkkale, 257 654, 6 898, 20 702, 53 342, 60 472, 70 968, 40 445, 4 827
Batman, 545 792, 23 995, 78 419, 96 172, 165 150, 111 459, 66 658, 3 939
Şırnak, 467 810, 24 276, 71 250, 81 181, 145 545, 91 025, 47 723, 6 810
Bartın, 190 324, 6 277, 18 545, 47 614, 50 057, 40 584, 25 034, 2 213
Ardahan, 87 748, 4 417, 7 956, 21 915, 24 370, 17 098, 11 091,901
Iğdır, 180 544, 10 234, 25 465, 36 086, 52 012, 32 134, 22 044, 2 569
Yalova, 269 342, 4 232, 20 697, 55 124, 64 057, 68 805, 47 937, 8 490
Karabük, 234 826, 8 303, 17 349, 51 734, 50 282, 60 412, 44 065, 2 681
Kilis, 129 263, 3 240, 14 557, 23 407, 41 732, 26 401, 17 662, 2 264
Osmaniye, 502 018, 19 041, 52 886, 104 660, 130 972, 110 550, 74 625, 9 284
Düzce, 369 674, 8 740, 33 213, 85 493, 94 293, 84 780, 57 567, 5 588
