Province,Total,Male,Female
Adana,32.6,31.9,33.4
Adıyaman,28.2,27.8,28.7
Afyonkarahisar,34.4,33.7,35.2
Ağrı,22.8,23,22.6
Amasya,38.7,37.3,40.1
Ankara,34.7,33.8,35.5
Antalya,35.4,34.9,35.8
Artvin,40.6,39.4,41.9
Aydın,38.5,37.7,39.4
Balıkesir,41,39.6,42.4
Bilecik,35.1,33.6,36.8
Bingöl,28.5,28.4,28.7
Bitlis,24.3,24.4,24.1
Bolu,37.1,36.2,38
Burdur,38.3,36.6,40.1
Bursa,35.1,34.4,35.8
Çanakkale,40.2,38.8,41.4
Çankırı,38.2,37,39.7
Çorum,38.9,37.8,40
Denizli,36.8,36.1,37.5
Diyarbakır,24.8,24.4,25.2
Edirne,40.5,39.1,41.9
Elazığ,33.5,32.4,34.7
Erzincan,33.7,32.8,34.7
Erzurum,29,28.7,29.3
Eskişehir,37.2,36,38.4
Gaziantep,25.9,25.6,26.1
Giresun,41,40,42
Gümüşhane,33.9,34,33.8
Hakkari,24.6,24.5,24.8
Hatay,30.3,29.6,30.9
Isparta,36.6,35.5,37.6
Mersin,34.2,33.4,35
İstanbul,33.4,32.8,34
İzmir,37.6,36.6,38.6
Kars,28,27.9,28.1
Kastamonu,41.2,39.9,42.5
Kayseri,32.7,32.1,33.4
Kırklareli,40.1,38.8,41.4
Kırşehir,36,35.3,36.7
Kocaeli,33,32.5,33.4
Konya,32.1,31.3,32.9
Kütahya,37.8,36.9,38.7
Malatya,33.6,32.8,34.4
Manisa,36.6,35.7,37.5
Kahramanmaraş,29.6,29.4,29.9
Mardin,23.9,23.5,24.3
Muğla,39.2,38.7,39.8
Muş,23.1,23.2,23.1
Nevşehir,35,34.4,35.6
Niğde,32.5,31.7,33.2
Ordu,39.3,38.4,40.1
Rize,37.9,36.9,39
Sakarya,34.4,33.7,35
Samsun,36.6,35.7,37.5
Siirt,22.7,22.6,22.9
Sinop,41.8,40.7,42.9
Sivas,34.5,33.9,35.2
Tekirdağ,34.6,33.9,35.3
Tokat,37.1,36.2,38.1
Trabzon,36.8,35.9,37.7
Tunceli,38.2,36.7,40.1
Şanlıurfa,20.6,20.1,21.1
Uşak,37.3,36.5,38.1
Van,23.6,23.6,23.7
Yozgat,35.6,35.1,36.2
Zonguldak,39.8,38.8,40.8
Aksaray,31.4,30.9,32
Bayburt,30,29.7,30.6
Karaman,33.6,33.1,34
Kırıkkale,36.6,35.9,37.4
Batman,23.7,23.5,24
Şırnak,21.6,21.7,21.4
Bartın,39.9,38.9,40.8
Ardahan,34.2,33.9,34.6
Iğdır,26.6,26.3,26.9
Yalova,36.4,35.3,37.5
Karabük,37,35.7,38.5
Kilis,27.1,27,27.2
Osmaniye,31.4,30.7,32.1
Düzce,34.7,34.3,35.2
