Tarih,Anket şirketi,Örneklem,Erdoğan,İnce,Kılıçdaroğlu,Oğan
Mayıs ayı ortalaması,Mayıs ayı ortalaması,40000,"47,17","3,43","46,73","2,67"
28 Nisan-2 Mayıs,İvem,4156,"47,8","3,3","45,9","3,0"
27 Nisan-2 Mayıs,ASAL,2523,"49,1","2,7","46,3","1,9"
29 Nisan-1 Mayıs,ORC,3950,"44,6","4,3","48,0","3,1"
Nisan ayı ortalaması,Nisan ayı ortalaması,40000,"45,06","5,44","47,17","2,33"
25-30 Nisan,SAROS,7284,"47,2","2,3","49,1","1,3"
26-29 Nisan,ADA,3278,"48,8","2,9","45,8","2,4"
25-29 Nisan,Optimar[a 1],3005,"48,6","4,3","44,1","3,0"
26-28 Nisan,Aksoy[a 2],1537,"41,9","5,8","47,3","5,0"
24-28 Nisan,Sosyo Politik,1569,"44,1","3,0","51,7","1,2"
25-27 Nisan,Areda Survey[a 3],14193,"51,1","4,1","42,0","2,8"
24-26 Nisan,Gezici,3991,"44,6","4,7","48,7","2,0"
23-26 Nisan,TEAM,3054,"44,4","6,1","47,4","2,1"
17-25 Nisan,TÜSİAR,4223,"48,7","3,6","46,6","1,1"
17-24 Nisan,Artıbir,1500,"43,7","4,5","49,4","2,4"
15-24 Nisan,Bulgu,2400,"41,5","6,5","49,5","2,5"
19-22 Nisan,ORC,3920,"42,4","6,1","49,3","2,2"
12-20 Nisan,Area,10277,"46,7","3,9","46,8","2,6"
15-20 Nisan,Areda Survey[a 3],1740,"51,4","4,6","41,8","2,2"
15-18 Nisan,Piar,5400,"47,1","1,2","49,4","2,3"
14-16 Nisan,Yöneylem,2422,"43,0","5,6","48,6","2,8"
10-16 Nisan,SONAR,4541,"46,1","7,7","44,1","2,1"
10-16 Nisan,MAK,5750,"45,5","3,5","49,8","1,2"
5-15 Nisan,HBS,5100,"46,4","6,2","45,7","1,7"
12-14 Nisan,Areda Survey[a 3],10136,"50,8","4,5","43,1","1,6"
8-12 Nisan,ALF,2340,"43,9","6,5","47,4","2,2"
7-11 Nisan,ORC,5400,"41,5","7,2","48,9","2,4"
6-10 Nisan,Avrasya[a 4],2410,"42,3","4,8","50,9","2,0"
1-7 Nisan,Optimar[a 1],4775,"45,9","8,3","43,9","1,9"
1-3 Nisan,MetroPOLL,2610,"45,2","5,5","46,9","2,4"
1-2 Nisan,Gezici,2864,"43,2","2,1","53,4","1,3"
25 Mart-2 Nisan,ASAL,2147,"46,8","8,4","42,2","2,6"
28 Mart-1 Nisan,Areda Survey[a 3],18478,"50,6","5,5","41,8","2,1"
Nisan,TEAM,5000,"43,1","12,1","42,7","2,0"
Nisan,Aksoy[a 2],1067,"38,4","9,0","47,9","4,8"
Nisan,İEA,2000,"41,8","11,0","44,3","2,9"
Nisan,SAROS,10729,"46,8","6,0","45,7","1,6"
Mart ayı ortalaması,Mart ayı ortalaması,44686,"43,25","5,20","46,80","2,22"
27-30 Mart,Areda Survey[a 3],2731,"49,9","5,3","41,5","3,4"
27-29 Mart,Yöneylem,2655,"41,6","9,1","46,4","2,9"
13-21 Mart,Artıbir,1500,"44,0","3,5","51,3","1,2"
13-18 Mart,Optimar[a 1],1916,"47,4","6,5","45,3","0,7"
12-17 Mart,Avrasya[a 4],2560,"39,7","2,5","53,5","1,4"
11-15 Mart,ORC,4540,"42,3","3,1","53,1","1,5"
8-15 Mart,MAK,5750,"45,9",0,"50,4",0
Mart,TEAM,5000,"42,8","16,2","39,9","1,1"
Mart,SAROS,10826,"44,3","3,1","45,5",0
Mart,Themis,1458,"32,1","7,9","36,8","12,2"
Mart,MAK,5750,"45,7",0,"51,1",0
